name,platform,category,base,downloads,rating,specialty,hardware,architecture,style,usecase,quality,modality,created_at,trending_score,popularity_score,source,lastUpdated,verified,subtitle,description,primaryUseCase,keyFeatures,performance,recommendedSettings,creator,license,modelSize,trainingDataset
Wan-2.2 A14B,DecentraModels,Image-to-Video,Open Source,N/A,4.1,Motion Diversity,Varies,Open Source,artistic,concept,standard,text-to-image,2025-03-25,74,9741,community,,true,,,,,,,,,,
FLUX LoRA Fast Training,DecentraModels,Training,FLUX,N/A,4.8,Style/Character Training,Varies,FLUX,artistic,concept,standard,text-to-image,2024-12-04,97,52659,community,,true,,,,,,,,,,
Flux Kontext Trainer,DecentraModels,Training,FLUX,N/A,4.0,Reference Training,Varies,FLUX,artistic,concept,standard,text-to-image,2024-10-20,40,813,community,,true,,,,,,,,,,
Pony Diffusion V6 XL,DecentraModels,Checkpoint,SDXL,250.9M,4.2,Anime/Anthro/Furry,Varies,SDXL,artistic,concept,standard,text-to-image,2025-01-26,40,73352,community,,true,,,,,,,,,,
Illustrious XL v1.0,DecentraModels,Checkpoint,SDXL (Kohaku),6.4M,4.9,Anime Illustration,Varies,SDXL (Kohaku),artistic,concept,standard,text-to-image,2025-03-11,90,61747,community,,true,,,,,,,,,,
Illustrious XL v1.1,DecentraModels,Checkpoint,SDXL (Illustrious),82K,4.9,Refined Anime,Varies,SDXL (Illustrious),artistic,concept,standard,text-to-image,2024-10-01,10,69389,community,,true,,,,,,,,,,
NoobAI-XL V-Pred 1.0,DecentraModels,Checkpoint,SDXL Custom,3.3M,4.2,Comprehensive Anime,Varies,SDXL Custom,artistic,concept,standard,text-to-image,2025-07-25,37,42866,community,,true,,,,,,,,,,
NoobAI-XL EPS 1.1,DecentraModels,Checkpoint,SDXL Custom,3.2M,4.3,Anime + Natural Language,Varies,SDXL Custom,artistic,concept,standard,text-to-image,2024-12-11,68,32126,community,,true,,,,,,,,,,
DreamShaper XL,DecentraModels,Checkpoint,SDXL,275K+,4.1,Photorealism,Varies,SDXL,artistic,concept,standard,text-to-image,2025-03-13,23,6278,community,,true,,,,,,,,,,
Anime Art Diffusion XL,DecentraModels,Checkpoint,SDXL,21K,4.6,Anime,Varies,SDXL,artistic,concept,standard,text-to-image,2025-02-26,11,7990,community,,true,,,,,,,,,,
Anything V5,DecentraModels,Checkpoint,SD 1.5,High,4.9,Versatile Anime,Varies,SD 1.5,artistic,concept,standard,text-to-image,2025-04-23,36,97365,community,,true,,,,,,,,,,
Counterfeit V3.0,DecentraModels,Checkpoint,SD 1.5,High,4.0,Stylized Anime,Varies,SD 1.5,artistic,concept,standard,text-to-image,2025-08-10,51,96256,community,,true,,,,,,,,,,
YesMix,DecentraModels,Checkpoint,SD 1.5,1.3K,4.2,Anime NSFW,Varies,SD 1.5,artistic,concept,standard,text-to-image,2024-10-16,21,72377,community,,true,,,,,,,,,,
Styles For Pony V6 XL,DecentraModels,LoRA,Pony,11.2M,4.9,Style Adaptation,Varies,Pony,artistic,concept,standard,text-to-image,2025-01-14,57,5815,community,,true,,,,,,,,,,
Character LoRAs,DecentraModels,LoRA,Various,Varies,4.3,Specific Characters,Varies,Various,artistic,concept,standard,text-to-image,2024-11-25,69,87027,community,,true,,,,,,,,,,
SharpSpectrumVAEXL,DecentraModels,VAE,SDXL,714.1K,4.1,Color Enhancement,Varies,SDXL,artistic,concept,standard,text-to-image,2024-12-16,48,68108,community,,true,,,,,,,,,,
SDXL VAE,DecentraModels,VAE,SDXL,Standard,4.2,Standard Enhancement,Varies,SDXL,artistic,concept,standard,text-to-image,2024-12-09,91,45524,community,,true,,,,,,,,,,
EasyNegative,DecentraModels,Embedding,Universal,Very High,5.0,Quality Improvement,Varies,Universal,artistic,concept,standard,text-to-image,2024-09-06,64,90837,community,,true,,,,,,,,,,
"Makoto Shinkai Style (Your Name, Suzume)",DecentraModels,LoRA,SDXL,27k,4.4,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,SDXL,artistic,style,production,lora,2024-10-27,70,14965,community,2024-12-24,true,,,,,,,,,,
Studio Ghibli Style,DecentraModels,LoRA,Illustrious XL,14k,4.8,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Illustrious XL,artistic,style,production,lora,2024-10-26,82,50251,community,2024-12-17,true,,,,,,,,,,
Wlop Art Style,DecentraModels,LoRA,NoobAI XL,53k,4.0,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,NoobAI XL,artistic,style,production,lora,2025-08-09,47,31358,community,2025-09-10,true,,,,,,,,,,
Samdoesarts Style,DecentraModels,LoRA,Pony Diffusion V6,10k,4.9,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Pony Diffusion V6,artistic,style,production,lora,2025-05-07,47,48008,community,2025-06-22,true,,,,,,,,,,
ChannelCastStation Style,DecentraModels,LoRA,WAN,39k,4.4,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,WAN,artistic,style,production,lora,2024-09-10,32,22449,community,2024-10-31,true,,,,,,,,,,
Guweiz Art Style,DecentraModels,LoRA,FLUX,38k,4.6,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,FLUX,artistic,style,production,lora,2024-09-23,97,24040,community,2024-11-18,true,,,,,,,,,,
Ross Tran Style,DecentraModels,LoRA,Stable Diffusion 1.5,52k,4.7,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Stable Diffusion 1.5,artistic,style,production,lora,2025-03-20,15,48033,community,2025-05-13,true,,,,,,,,,,
Kuvshinov Ilya Style,DecentraModels,LoRA,SDXL,52k,4.3,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,SDXL,artistic,style,production,lora,2025-01-06,26,25883,community,2025-02-12,true,,,,,,,,,,
Artgerm Style,DecentraModels,LoRA,Illustrious XL,11k,4.7,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Illustrious XL,artistic,style,production,lora,2024-08-19,53,15963,community,2024-10-15,true,,,,,,,,,,
Greg Rutkowski Style,DecentraModels,LoRA,NoobAI XL,21k,4.2,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,NoobAI XL,artistic,style,production,lora,2025-05-18,20,58886,community,2025-06-01,true,,,,,,,,,,
Loish Art Style,DecentraModels,LoRA,Pony Diffusion V6,42k,4.5,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Pony Diffusion V6,artistic,style,production,lora,2025-01-01,56,11931,community,2025-01-03,true,,,,,,,,,,
WLOP Digital Painting,DecentraModels,LoRA,WAN,15k,4.2,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,WAN,artistic,style,production,lora,2025-04-26,77,19195,community,2025-06-06,true,,,,,,,,,,
Sakimichan Style,DecentraModels,LoRA,FLUX,12k,4.2,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,FLUX,artistic,style,production,lora,2025-02-09,97,57295,community,2025-03-13,true,,,,,,,,,,
RossDraws Style,DecentraModels,LoRA,Stable Diffusion 1.5,21k,4.5,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Stable Diffusion 1.5,artistic,style,production,lora,2024-09-26,14,59953,community,2024-11-10,true,,,,,,,,,,
James Jean Style,DecentraModels,LoRA,SDXL,54k,4.7,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,SDXL,artistic,style,production,lora,2025-03-11,24,20338,community,2025-05-06,true,,,,,,,,,,
Kim Jung Gi Line Art,DecentraModels,LoRA,Illustrious XL,32k,4.6,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Illustrious XL,artistic,style,production,lora,2025-01-06,1,36191,community,2025-02-20,true,,,,,,,,,,
Yoji Shinkawa Style,DecentraModels,LoRA,NoobAI XL,56k,4.3,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,NoobAI XL,artistic,style,production,lora,2024-09-07,13,57809,community,2024-10-05,true,,,,,,,,,,
Moebius (Jean Giraud) Style,DecentraModels,LoRA,Pony Diffusion V6,11k,4.6,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Pony Diffusion V6,artistic,style,production,lora,2025-01-02,78,34866,community,2025-02-24,true,,,,,,,,,,
Junji Ito Horror Style,DecentraModels,LoRA,WAN,58k,4.6,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,WAN,artistic,style,production,lora,2024-10-17,97,53323,community,2024-10-27,true,,,,,,,,,,
Hirohiko Araki (JoJo) Style,DecentraModels,LoRA,FLUX,52k,4.6,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,FLUX,artistic,style,production,lora,2024-10-03,7,12329,community,2024-11-14,true,,,,,,,,,,
ONE (Mob Psycho) Style,DecentraModels,LoRA,Stable Diffusion 1.5,15k,4.7,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Stable Diffusion 1.5,artistic,style,production,lora,2025-08-07,63,11025,community,2025-08-26,true,,,,,,,,,,
Kentaro Miura (Berserk) Style,DecentraModels,LoRA,SDXL,14k,4.8,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,SDXL,artistic,style,production,lora,2025-06-14,94,40566,community,2025-07-22,true,,,,,,,,,,
Yoshitaka Amano Style,DecentraModels,LoRA,Illustrious XL,59k,4.2,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Illustrious XL,artistic,style,production,lora,2025-02-04,30,40992,community,2025-03-17,true,,,,,,,,,,
Range Murata Style,DecentraModels,LoRA,NoobAI XL,45k,5.0,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,NoobAI XL,artistic,style,production,lora,2024-12-19,96,54905,community,2025-01-02,true,,,,,,,,,,
Katsuhiro Otomo Style,DecentraModels,LoRA,Pony Diffusion V6,41k,4.5,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Pony Diffusion V6,artistic,style,production,lora,2024-09-10,74,27548,community,2024-10-11,true,,,,,,,,,,
Studio Trigger Style,DecentraModels,LoRA,WAN,11k,4.8,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,WAN,artistic,style,production,lora,2025-06-04,26,49097,community,2025-07-03,true,,,,,,,,,,
KyoAni Style,DecentraModels,LoRA,FLUX,57k,4.8,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,FLUX,artistic,style,production,lora,2024-12-14,85,38585,community,2025-01-16,true,,,,,,,,,,
Ufotable Style,DecentraModels,LoRA,Stable Diffusion 1.5,51k,4.8,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Stable Diffusion 1.5,artistic,style,production,lora,2025-02-24,76,20253,community,2025-04-09,true,,,,,,,,,,
A-1 Pictures Style,DecentraModels,LoRA,SDXL,23k,4.3,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,SDXL,artistic,style,production,lora,2025-06-20,61,19032,community,2025-07-15,true,,,,,,,,,,
Wit Studio Style,DecentraModels,LoRA,Illustrious XL,19k,4.8,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Illustrious XL,artistic,style,production,lora,2025-01-28,75,39763,community,2025-03-14,true,,,,,,,,,,
MAPPA Style,DecentraModels,LoRA,NoobAI XL,15k,4.5,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,NoobAI XL,artistic,style,production,lora,2024-09-25,67,18664,community,2024-11-09,true,,,,,,,,,,
CloverWorks Style,DecentraModels,LoRA,Pony Diffusion V6,38k,4.5,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Pony Diffusion V6,artistic,style,production,lora,2024-09-11,38,45695,community,2024-10-14,true,,,,,,,,,,
Studio Pierrot Style,DecentraModels,LoRA,WAN,52k,4.3,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,WAN,artistic,style,production,lora,2024-12-08,92,33697,community,2025-01-04,true,,,,,,,,,,
Madhouse Style,DecentraModels,LoRA,FLUX,11k,4.2,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,FLUX,artistic,style,production,lora,2025-01-12,56,14133,community,2025-01-18,true,,,,,,,,,,
Bones Studio Style,DecentraModels,LoRA,Stable Diffusion 1.5,54k,4.4,Artistic style replication with high fidelity,Any GPU with 6GB+ VRAM,Stable Diffusion 1.5,artistic,style,production,lora,2024-08-18,71,54643,community,2024-09-18,true,,,,,,,,,,
Hatsune Miku (Vocaloid),DecentraModels,LoRA,Illustrious XL,46k,4.1,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Illustrious XL,anime,character,production,lora,2024-11-03,75,36899,community,2024-11-05,true,,,,,,,,,,
Kasane Teto (UTAU/SynthV),DecentraModels,LoRA,NoobAI XL,58k,4.5,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,NoobAI XL,anime,character,production,lora,2025-06-19,137,104860,community,2025-08-14,true,,,,,,,,,,
Zundamon,DecentraModels,LoRA,Pony Diffusion V6,54k,4.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Pony Diffusion V6,anime,character,production,lora,2024-10-24,118,41977,community,2024-12-20,true,,,,,,,,,,
Kagamine Rin/Len,DecentraModels,LoRA,SDXL,104k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,SDXL,anime,character,production,lora,2025-02-02,121,41695,community,2025-02-15,true,,,,,,,,,,
Megurine Luka,DecentraModels,LoRA,HunyuanVideo,75k,4.8,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,HunyuanVideo,anime,character,production,lora,2025-07-17,114,50814,community,2025-07-31,true,,,,,,,,,,
GUMI (Vocaloid),DecentraModels,LoRA,WAN-2.2,36k,4.4,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,WAN-2.2,anime,character,production,lora,2025-01-03,136,80309,community,2025-02-06,true,,,,,,,,,,
IA (Vocaloid),DecentraModels,LoRA,Qwen2-VL,45k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Qwen2-VL,anime,character,production,lora,2024-12-06,18,89487,community,2025-01-22,true,,,,,,,,,,
Blue Archive - Arona,DecentraModels,LoRA,Illustrious XL,45k,4.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Illustrious XL,anime,character,production,lora,2025-02-04,78,28847,community,2025-02-23,true,,,,,,,,,,
Blue Archive - Shiroko,DecentraModels,LoRA,NoobAI XL,61k,4.4,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,NoobAI XL,anime,character,production,lora,2024-10-03,28,37989,community,2024-11-24,true,,,,,,,,,,
Blue Archive - Hoshino,DecentraModels,LoRA,Pony Diffusion V6,64k,4.2,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Pony Diffusion V6,anime,character,production,lora,2024-09-08,8,45728,community,2024-10-14,true,,,,,,,,,,
Blue Archive - Aru,DecentraModels,LoRA,SDXL,88k,4.5,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,SDXL,anime,character,production,lora,2025-04-21,67,38949,community,2025-05-21,true,,,,,,,,,,
Blue Archive - Serika,DecentraModels,LoRA,HunyuanVideo,69k,4.4,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,HunyuanVideo,anime,character,production,lora,2025-02-03,83,80633,community,2025-03-18,true,,,,,,,,,,
Blue Archive - Nonomi,DecentraModels,LoRA,WAN-2.2,89k,4.6,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,WAN-2.2,anime,character,production,lora,2024-12-24,86,97859,community,2025-01-16,true,,,,,,,,,,
Blue Archive - Izuna,DecentraModels,LoRA,Qwen2-VL,72k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Qwen2-VL,anime,character,production,lora,2025-04-10,56,67232,community,2025-06-03,true,,,,,,,,,,
Blue Archive - Yuuka,DecentraModels,LoRA,Illustrious XL,95k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Illustrious XL,anime,character,production,lora,2025-02-18,25,109554,community,2025-02-25,true,,,,,,,,,,
Genshin Impact - Hu Tao,DecentraModels,LoRA,NoobAI XL,46k,4.4,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,NoobAI XL,anime,character,production,lora,2024-12-07,123,29761,community,2025-01-27,true,,,,,,,,,,
Genshin Impact - Ganyu,DecentraModels,LoRA,Pony Diffusion V6,39k,5.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Pony Diffusion V6,anime,character,production,lora,2025-01-01,111,75508,community,2025-01-19,true,,,,,,,,,,
Genshin Impact - Raiden Shogun,DecentraModels,LoRA,SDXL,117k,5.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,SDXL,anime,character,production,lora,2025-03-13,55,48193,community,2025-04-19,true,,,,,,,,,,
Genshin Impact - Yae Miko,DecentraModels,LoRA,HunyuanVideo,88k,4.7,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,HunyuanVideo,anime,character,production,lora,2024-08-19,106,105376,community,2024-09-26,true,,,,,,,,,,
Genshin Impact - Nahida,DecentraModels,LoRA,WAN-2.2,67k,5.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,WAN-2.2,anime,character,production,lora,2024-09-27,103,64490,community,2024-10-30,true,,,,,,,,,,
Genshin Impact - Furina,DecentraModels,LoRA,Qwen2-VL,67k,4.6,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Qwen2-VL,anime,character,production,lora,2025-03-31,137,91291,community,2025-05-11,true,,,,,,,,,,
Genshin Impact - Keqing,DecentraModels,LoRA,Illustrious XL,28k,4.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Illustrious XL,anime,character,production,lora,2025-05-13,74,56537,community,2025-05-25,true,,,,,,,,,,
Genshin Impact - Ayaka,DecentraModels,LoRA,NoobAI XL,71k,4.2,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,NoobAI XL,anime,character,production,lora,2025-02-19,11,20262,community,2025-04-16,true,,,,,,,,,,
Genshin Impact - Yelan,DecentraModels,LoRA,Pony Diffusion V6,48k,4.5,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Pony Diffusion V6,anime,character,production,lora,2025-07-08,28,41980,community,2025-08-31,true,,,,,,,,,,
Arknights - Amiya,DecentraModels,LoRA,SDXL,84k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,SDXL,anime,character,production,lora,2025-05-30,130,34426,community,2025-07-24,true,,,,,,,,,,
Arknights - Texas,DecentraModels,LoRA,HunyuanVideo,96k,5.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,HunyuanVideo,anime,character,production,lora,2025-04-04,49,63491,community,2025-05-11,true,,,,,,,,,,
Arknights - Exusiai,DecentraModels,LoRA,WAN-2.2,66k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,WAN-2.2,anime,character,production,lora,2024-11-28,108,24297,community,2025-01-11,true,,,,,,,,,,
Arknights - SilverAsh,DecentraModels,LoRA,Qwen2-VL,91k,4.7,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Qwen2-VL,anime,character,production,lora,2024-10-21,51,26094,community,2024-10-28,true,,,,,,,,,,
Honkai Star Rail - Kafka,DecentraModels,LoRA,Illustrious XL,78k,4.3,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Illustrious XL,anime,character,production,lora,2025-01-13,114,100024,community,2025-01-18,true,,,,,,,,,,
Honkai Star Rail - Silver Wolf,DecentraModels,LoRA,NoobAI XL,26k,4.5,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,NoobAI XL,anime,character,production,lora,2024-09-25,72,37474,community,2024-11-23,true,,,,,,,,,,
Honkai Star Rail - Fu Xuan,DecentraModels,LoRA,Pony Diffusion V6,60k,5.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Pony Diffusion V6,anime,character,production,lora,2025-04-25,149,110112,community,2025-06-20,true,,,,,,,,,,
Honkai Star Rail - Jingliu,DecentraModels,LoRA,SDXL,69k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,SDXL,anime,character,production,lora,2025-08-01,98,41245,community,2025-09-05,true,,,,,,,,,,
Azur Lane - Enterprise,DecentraModels,LoRA,HunyuanVideo,44k,4.6,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,HunyuanVideo,anime,character,production,lora,2024-09-20,127,101278,community,2024-11-07,true,,,,,,,,,,
Azur Lane - Belfast,DecentraModels,LoRA,WAN-2.2,114k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,WAN-2.2,anime,character,production,lora,2024-11-11,81,45229,community,2024-12-25,true,,,,,,,,,,
Fate/GO - Artoria Pendragon,DecentraModels,LoRA,Qwen2-VL,99k,4.3,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Qwen2-VL,anime,character,production,lora,2025-03-06,24,33706,community,2025-04-10,true,,,,,,,,,,
Fate/GO - Mash Kyrielight,DecentraModels,LoRA,Illustrious XL,24k,4.4,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Illustrious XL,anime,character,production,lora,2025-02-25,103,99331,community,2025-02-27,true,,,,,,,,,,
Fate/GO - Jeanne d'Arc,DecentraModels,LoRA,NoobAI XL,99k,4.7,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,NoobAI XL,anime,character,production,lora,2024-09-23,2,58418,community,2024-10-30,true,,,,,,,,,,
Uma Musume - Daiwa Scarlet,DecentraModels,LoRA,Pony Diffusion V6,105k,4.6,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Pony Diffusion V6,anime,character,production,lora,2025-06-06,119,113278,community,2025-06-20,true,,,,,,,,,,
Uma Musume - Gold Ship,DecentraModels,LoRA,SDXL,58k,4.6,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,SDXL,anime,character,production,lora,2025-06-13,29,92806,community,2025-06-30,true,,,,,,,,,,
Nikke - Rapi,DecentraModels,LoRA,HunyuanVideo,22k,4.7,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,HunyuanVideo,anime,character,production,lora,2024-12-08,12,101245,community,2024-12-31,true,,,,,,,,,,
Nikke - Anis,DecentraModels,LoRA,WAN-2.2,37k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,WAN-2.2,anime,character,production,lora,2024-09-22,21,101923,community,2024-11-12,true,,,,,,,,,,
Nikke - Neon,DecentraModels,LoRA,Qwen2-VL,85k,4.3,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Qwen2-VL,anime,character,production,lora,2024-09-03,41,108877,community,2024-10-29,true,,,,,,,,,,
Princess Connect - Pecorine,DecentraModels,LoRA,Illustrious XL,79k,4.5,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Illustrious XL,anime,character,production,lora,2025-01-05,25,36911,community,2025-01-29,true,,,,,,,,,,
Princess Connect - Kyaru,DecentraModels,LoRA,NoobAI XL,23k,4.1,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,NoobAI XL,anime,character,production,lora,2024-12-08,51,43967,community,2024-12-14,true,,,,,,,,,,
Hololive - Gawr Gura,DecentraModels,LoRA,Pony Diffusion V6,118k,5.0,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Pony Diffusion V6,anime,character,production,lora,2024-12-29,98,119304,community,2025-02-12,true,,,,,,,,,,
Hololive - Usada Pekora,DecentraModels,LoRA,SDXL,114k,4.2,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,SDXL,anime,character,production,lora,2025-03-19,149,55525,community,2025-05-07,true,,,,,,,,,,
Hololive - Inugami Korone,DecentraModels,LoRA,HunyuanVideo,74k,4.9,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,HunyuanVideo,anime,character,production,lora,2025-04-09,105,64381,community,2025-05-20,true,,,,,,,,,,
Nijisanji - Tsukino Mito,DecentraModels,LoRA,WAN-2.2,81k,4.6,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,WAN-2.2,anime,character,production,lora,2025-07-29,35,119775,community,2025-09-09,true,,,,,,,,,,
Nijisanji - Kuzuha,DecentraModels,LoRA,Qwen2-VL,28k,4.3,Character consistency and accurate representation,Any GPU with 6GB+ VRAM,Qwen2-VL,anime,character,production,lora,2025-05-03,136,65059,community,2025-05-11,true,,,,,,,,,,
